Zip Code,2019 House Mean,2019 Dec House Price,Social Studies Mean,Social Studies Median
32430,103478.0,103286.0,71.0,71.0
32431,90090.5,90192.91666666667,63.0,63.0
32433,129542.0,129713.5,77.0,77.0
32435,125003.5,125660.33333333333,87.0,87.0
32439,244369.5,245048.16666666666,79.5,79.5
32440,91226.5,91233.83333333333,70.5,70.5
32442,97661.0,97688.5,67.0,67.0
32444,215083.0,215667.58333333334,84.0,84.0
32445,69876.0,69903.08333333333,72.0,72.0
32446,137559.5,137538.0,60.0,60.0
32448,84533.0,84551.58333333333,77.0,77.0
32455,101025.5,102030.5,65.0,65.0
32456,271289.5,272317.25,63.0,63.0
32459,561842.0,560271.1666666666,91.33333333333333,88.0
32460,85365.5,85252.16666666667,77.0,77.0
32462,92141.0,92890.0,73.5,73.5
32465,89823.5,90083.5,65.0,65.0
32501,140148.5,140314.33333333334,62.0,62.0
32503,186545.5,187427.25,77.0,75.0
32504,179002.5,179924.66666666666,55.5,55.5
32506,143601.5,144176.5,57.5,57.5
32507,174197.0,174471.83333333334,52.0,52.0
32514,164047.0,164554.25,54.0,54.0
32526,161407.5,161906.5,51.5,47.5
32531,189624.0,189506.5,70.0,70.0
32533,197266.0,197653.33333333334,63.5,63.5
32535,99443.0,99996.75,51.0,51.0
32536,192402.5,192412.75,82.0,82.0
32539,166851.5,166893.08333333334,79.0,79.0
32541,411336.0,411526.9166666667,80.0,80.0
32547,213581.5,213899.5,75.0,75.0
32548,195198.5,195757.16666666666,86.75,90.0
32561,509388.5,508924.0833333333,84.0,84.0
32563,260419.0,260950.33333333334,80.0,80.0
32565,133747.0,134173.75,66.0,66.0
32566,258940.5,259445.5,81.0,81.0
32567,152929.5,153952.58333333334,77.0,77.0
32568,135565.5,136174.83333333334,73.0,73.0
32570,156884.0,157283.16666666666,67.4,63.0
32571,202708.0,203138.91666666666,82.0,82.0
32578,311577.0,311295.5833333333,88.33333333333333,85.0
32579,272683.0,272735.75,82.0,82.0
32580,209285.5,209172.83333333334,89.0,89.0
32583,167019.0,167388.91666666666,81.0,81.0
32601,166830.0,167195.91666666666,82.0,82.0
32605,208469.5,209458.91666666666,69.0,69.0
32606,245094.5,245904.5,75.0,75.0
32608,273939.0,274800.0,76.0,76.0
32609,133966.5,135096.66666666666,73.33333333333333,75.0
32615,205916.0,206805.0,76.33333333333333,74.0
32619,133970.5,133460.5,88.0,88.0
32621,108646.0,108859.91666666667,67.0,67.0
32625,252536.0,252976.5,88.0,88.0
32626,122506.0,122638.08333333333,72.0,72.0
32628,67025.0,67117.75,71.5,71.5
32640,129868.0,130087.16666666667,64.0,64.0
32641,103559.5,104203.08333333333,68.33333333333333,68.0
32643,191917.0,192385.33333333334,88.0,88.0
32656,166549.0,166370.08333333334,70.0,70.0
32667,212239.5,212344.83333333334,86.0,86.0
32669,232946.5,233204.58333333334,78.5,78.5
32693,126503.5,126425.41666666667,77.0,77.0
32696,132139.5,132285.16666666666,69.0,69.0
32703,226152.5,226808.16666666666,62.0,62.0
32707,239153.5,238940.0,65.0,65.0
32708,284307.5,283969.9166666667,78.5,78.5
32712,277455.0,278237.9166666667,65.66666666666667,65.0
32714,247043.5,247343.16666666666,75.5,75.5
32720,197346.5,197799.33333333334,68.0,68.0
32724,215497.5,215869.58333333334,57.5,57.5
32725,184379.5,184983.08333333334,71.66666666666667,76.0
32726,175487.5,176399.83333333334,67.5,67.5
32736,284268.0,284822.5833333333,62.0,62.0
32738,183290.5,183913.41666666666,64.5,64.5
32744,179830.0,180029.25,88.0,88.0
32746,334313.0,334252.5833333333,76.4,73.0
32750,262347.0,262258.75,71.66666666666667,69.0
32751,356440.0,357273.0,80.0,80.0
32757,242999.0,243628.0,75.0,76.0
32759,188355.5,189383.58333333334,97.0,97.0
32763,174659.0,174946.5,72.5,72.5
32765,318681.5,318646.1666666667,86.5,88.5
32766,385752.0,385599.1666666667,89.0,89.0
32767,122304.5,122769.75,71.0,71.0
32771,232793.5,233092.25,84.66666666666667,85.0
32773,196695.0,196693.41666666666,66.5,66.5
32778,201622.5,202277.83333333334,72.5,72.5
32780,187374.0,187413.5,81.33333333333333,82.0
32784,165282.0,166117.66666666666,67.5,67.5
32792,270261.5,270677.9166666667,81.5,81.5
32796,166937.5,166637.91666666666,65.5,65.5
32801,342577.5,342883.3333333333,86.0,86.0
32803,321904.0,321742.1666666667,67.66666666666667,69.0
32804,350047.5,351047.25,74.25,78.5
32805,140138.5,141389.91666666666,49.333333333333336,57.0
32806,298686.5,299436.9166666667,73.33333333333333,82.0
32807,204471.5,205595.16666666666,55.666666666666664,63.0
32808,162984.0,164020.33333333334,50.5,50.5
32809,205526.5,206187.91666666666,67.8,60.0
32810,199688.0,200611.16666666666,62.0,62.0
32811,143179.0,143873.83333333334,50.0,50.0
32812,279229.5,279904.8333333333,55.0,55.0
32814,524163.0,524686.8333333334,68.0,68.0
32817,253817.5,254477.25,74.5,78.0
32818,219406.0,220248.83333333334,65.0,65.0
32819,343686.0,343493.8333333333,73.0,73.0
32820,319853.5,320396.6666666667,53.0,53.0
32822,208834.0,209785.16666666666,71.0,71.0
32824,263956.0,264846.4166666667,65.66666666666667,66.0
32825,253008.5,253927.83333333334,64.0,64.0
32827,393562.0,393437.0,87.0,87.0
32828,307333.0,307424.25,84.25,82.0
32829,266269.0,267015.9166666667,66.5,66.5
32832,336658.0,337112.6666666667,86.66666666666667,88.0
32833,297236.5,297474.9166666667,76.0,76.0
32835,267443.0,268519.0,76.4,80.0
32837,276342.5,277129.0,71.75,73.5
32901,182789.5,182862.66666666666,67.66666666666667,67.0
32903,405114.0,405152.75,86.0,86.0
32904,264469.0,264528.4166666667,73.0,73.0
32905,155381.5,155628.58333333334,43.0,43.0
32907,189734.0,189540.33333333334,72.0,72.0
32908,193851.0,194028.66666666666,60.0,60.0
32909,193439.5,193512.16666666666,77.66666666666667,81.0
32922,116320.0,116424.75,74.0,74.0
32926,212079.0,212330.0,53.0,53.0
32927,192555.5,192715.91666666666,76.0,76.0
32931,430322.5,430275.4166666667,87.0,87.0
32935,184080.0,183657.0,77.0,68.0
32937,334096.0,334012.0833333333,90.0,90.0
32940,322663.5,322517.4166666667,87.5,87.5
32952,318074.5,318272.8333333333,78.0,78.0
32953,303098.5,303331.9166666667,83.0,83.0
32955,264168.0,264220.3333333333,70.33333333333333,70.0
32958,223853.5,224376.08333333334,70.33333333333333,72.0
32960,191395.0,191696.5,71.0,71.0
32962,177143.0,177734.5,62.0,62.0
32966,229251.5,229785.08333333334,86.0,86.0
32967,240478.0,240925.25,68.0,68.0
